,ccode,pcode,year,cgdp_c2000,pgdp_c2000
3415,ARE,DZA,1991,47600000000.0,44600000000.0
3443,ARE,DZA,1992,48900000000.0,45400000000.0
3459,ARE,ECU,1993,48500000000.0,14300000000.0
3460,ARE,ECU,1999,62600000000.0,15500000000.0
3461,ARE,ECU,2000,70300000000.0,15900000000.0
3462,ARE,ECU,2001,72700000000.0,16800000000.0
3486,ARE,EGY,1991,47600000000.0,65700000000.0
3487,ARE,EGY,1992,48900000000.0,68700000000.0
3488,ARE,EGY,1993,48500000000.0,70600000000.0
3489,ARE,EGY,1999,62600000000.0,94600000000.0
3490,ARE,EGY,2000,70300000000.0,99400000000.0
3491,ARE,EGY,2001,72700000000.0,103000000000.0
3546,ARE,EGY,1985,42300000000.0,52900000000.0
3547,ARE,EGY,1989,40400000000.0,61500000000.0
3548,ARE,EGY,1990,47500000000.0,65000000000.0
3620,ARE,ERI,1999,62600000000.0,729000000.0
3621,ARE,ERI,2000,70300000000.0,634000000.0
3622,ARE,ERI,2001,72700000000.0,692000000.0
3647,ARE,ERI,1993,48500000000.0,487000000.0
3684,ARE,ESP,1991,47600000000.0,443000000000.0
3685,ARE,ESP,1992,48900000000.0,447000000000.0
3686,ARE,ESP,1993,48500000000.0,442000000000.0
3687,ARE,ESP,1999,62600000000.0,539000000000.0
3688,ARE,ESP,2000,70300000000.0,562000000000.0
3689,ARE,ESP,2001,72700000000.0,578000000000.0
3749,ARE,ESP,1988,35600000000.0,397000000000.0
3750,ARE,ESP,1990,47500000000.0,432000000000.0
3836,ARE,EST,1992,48900000000.0,4310000000.0
3837,ARE,EST,1993,48500000000.0,4060000000.0
3838,ARE,EST,1999,62600000000.0,5070000000.0
3840,ARE,EST,2000,70300000000.0,5460000000.0
3841,ARE,EST,2001,72700000000.0,5810000000.0
3878,ARE,ETH,1993,48500000000.0,4640000000.0
3879,ARE,ETH,1999,62600000000.0,6160000000.0
3880,ARE,ETH,2000,70300000000.0,6530000000.0
3881,ARE,ETH,2001,72700000000.0,7100000000.0
3960,ARE,FIN,1991,47600000000.0,93200000000.0
3961,ARE,FIN,1992,48900000000.0,89700000000.0
